hrt_value,t_value
72021.0,1087.44855
72046.0,1087.488707
72048.0,1087.528855
72031.0,1087.569001
72014.0,1087.609153
71995.0,1087.649291
71953.0,1087.689777
71927.0,1087.729908
71880.0,1087.770057
71819.0,1087.810201
71741.0,1087.850334
71715.0,1087.890488
71713.0,1087.930613
71696.0,1087.970776
71685.0,1088.010889
71688.0,1088.051017
71699.0,1088.091159
71696.0,1088.131274
71687.0,1088.171413
71680.0,1088.21155
71670.0,1088.251513
71669.0,1088.291641
71649.0,1088.331782
71559.0,1088.37227
71457.0,1088.412399
71386.0,1088.45253
71338.0,1088.49267
71304.0,1088.532809
71277.0,1088.572951
71266.0,1088.6131
71244.0,1088.653244
71219.0,1088.693377
71187.0,1088.733511
71162.0,1088.773638
71146.0,1088.813779
71152.0,1088.853896
71146.0,1088.894024
71161.0,1088.934168
71167.0,1088.974287
71177.0,1089.014419
71181.0,1089.054556
71197.0,1089.094705
71210.0,1089.134855
71229.0,1089.174986
71238.0,1089.215126
71208.0,1089.255241
71112.0,1089.295353
70982.0,1089.335494
70861.0,1089.375616
70778.0,1089.415767
70697.0,1089.455905
70647.0,1089.49603
70634.0,1089.53616
70611.0,1089.576272
70575.0,1089.616403
70542.0,1089.656896
70527.0,1089.69701
70501.0,1089.73717
70508.0,1089.777305
70550.0,1089.817417
70558.0,1089.857557
70603.0,1089.897693
70639.0,1089.937819
70650.0,1089.977951
70675.0,1090.018084
70742.0,1090.058212
70782.0,1090.098352
70809.0,1090.138488
70869.0,1090.178616
70831.0,1090.218766
70744.0,1090.258894
70708.0,1090.299024
70708.0,1090.339169
70710.0,1090.379293
70726.0,1090.419415
70778.0,1090.459546
70809.0,1090.499673
70808.0,1090.540166
70804.0,1090.580293
70810.0,1090.620416
70808.0,1090.660546
70829.0,1090.7007
70839.0,1090.74082
70871.0,1090.780952
70869.0,1090.8211
70880.0,1090.861259
70882.0,1090.901397
70892.0,1090.94152
70906.0,1090.981647
70917.0,1091.0218
70919.0,1091.061941
70905.0,1091.10207
70812.0,1091.142217
70709.0,1091.182355
70627.0,1091.22251
70585.0,1091.26264
70564.0,1091.302791
70559.0,1091.342921
70559.0,1091.383058
70566.0,1091.42319
70549.0,1091.463345
70541.0,1091.503479
70528.0,1091.543615
70519.0,1091.583771
70524.0,1091.623895
70519.0,1091.664019
70532.0,1091.704168
70543.0,1091.744298
70565.0,1091.784421
70588.0,1091.82456
70606.0,1091.864701
70630.0,1091.904823
70657.0,1091.944989
70687.0,1091.985136
70692.0,1092.02526
70649.0,1092.065398
70594.0,1092.105531
70566.0,1092.146033
70566.0,1092.186183
70606.0,1092.226345
70674.0,1092.266477
70742.0,1092.306614
70813.0,1092.346767
70873.0,1092.386889
70914.0,1092.427025
70973.0,1092.467167
71026.0,1092.507294
71082.0,1092.547417
71154.0,1092.587551
71224.0,1092.627701
71289.0,1092.667856
71355.0,1092.708
71407.0,1092.748155
71454.0,1092.788288
71511.0,1092.828414
71553.0,1092.868539
71583.0,1092.908674
71556.0,1092.94881
71506.0,1092.988951
71489.0,1093.029093
71512.0,1093.069231
71546.0,1093.109379
